match_id,team_name,family_name,shirt_number,minute_regulation,minute_stoppage,own_goal,penalty,goal_keeper,defender,midfielder,forward,count_tournaments,home_team,away_team,goals_for,goals_against,goal_differential,extra_time,penalty_shootout,penalties_for,penalties_against,win,lose,draw,performace
M-1930-09,Uruguay,Castro,0,65,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,champions
M-1930-14,Uruguay,Anselmo,0,31,0,0,0,0,0,0,1,1,1,0,4,0,4,0,0,0,0,1,0,0,champions
M-1930-14,Uruguay,Cea,0,35,0,0,0,0,0,0,1,1,1,0,4,0,4,0,0,0,0,1,0,0,champions
M-1930-14,Uruguay,Dorado,0,7,0,0,0,0,0,0,1,1,1,0,4,0,4,0,0,0,0,1,0,0,champions
M-1930-14,Uruguay,Scarone,0,26,0,0,0,0,0,0,1,1,1,0,4,0,4,0,0,0,0,1,0,0,champions
M-1930-17,Uruguay,Anselmo,0,20,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,champions
M-1930-17,Uruguay,Anselmo,0,31,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,champions
M-1930-17,Uruguay,Cea,0,18,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,champions
M-1930-17,Uruguay,Cea,0,67,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,champions
M-1930-17,Uruguay,Cea,0,72,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,champions
M-1930-17,Uruguay,Iriarte,0,61,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,champions
M-1930-18,Uruguay,Castro,0,89,0,0,0,0,0,0,1,1,1,0,4,2,2,0,0,0,0,1,0,0,champions
M-1930-18,Uruguay,Cea,0,57,0,0,0,0,0,0,1,1,1,0,4,2,2,0,0,0,0,1,0,0,champions
M-1930-18,Uruguay,Dorado,0,12,0,0,0,0,0,0,1,1,1,0,4,2,2,0,0,0,0,1,0,0,champions
M-1930-18,Uruguay,Iriarte,0,68,0,0,0,0,0,0,1,1,1,0,4,2,2,0,0,0,0,1,0,0,champions
M-1934-05,Italy,Ferrari,0,63,0,0,0,0,0,0,1,2,1,0,7,1,6,0,0,0,0,1,0,0,champions
M-1934-05,Italy,Meazza,0,90,0,0,0,0,0,1,0,2,1,0,7,1,6,0,0,0,0,1,0,0,champions
M-1934-05,Italy,Orsi,0,20,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,champions
M-1934-05,Italy,Orsi,0,69,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,champions
M-1934-05,Italy,Schiavio,0,18,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,champions
M-1934-05,Italy,Schiavio,0,29,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,champions
M-1934-05,Italy,Schiavio,0,64,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,champions
M-1934-12,Italy,Ferrari,0,44,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,1,champions
M-1934-13,Italy,Meazza,0,11,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,1,0,0,champions
M-1934-15,Italy,Guaita,0,19,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,champions
M-1934-17,Italy,Orsi,0,81,0,0,0,0,0,0,1,1,1,0,2,1,1,1,0,0,0,1,0,0,champions
M-1934-17,Italy,Schiavio,0,95,0,0,0,0,0,0,1,1,1,0,2,1,1,1,0,0,0,1,0,0,champions
M-1938-03,France,Nicolas,0,16,0,0,0,0,0,0,1,2,1,0,3,1,2,0,0,0,0,1,0,0,quater-finals
M-1938-03,France,Nicolas,0,69,0,0,0,0,0,0,1,2,1,0,3,1,2,0,0,0,0,1,0,0,quater-finals
M-1938-03,France,Veinante,0,1,0,0,0,0,0,0,1,3,1,0,3,1,2,0,0,0,0,1,0,0,quater-finals
M-1938-12,France,Heisserer,0,10,0,0,0,0,0,0,1,1,0,1,1,3,-2,0,0,0,0,0,1,0,quater-finals
M-1950-01,Brazil,Ademir,0,30,0,0,0,0,0,0,1,1,1,0,4,0,4,0,0,0,0,1,0,0,runners-up
M-1950-01,Brazil,Ademir,0,79,0,0,0,0,0,0,1,1,1,0,4,0,4,0,0,0,0,1,0,0,runners-up
M-1950-01,Brazil,Baltazar,0,71,0,0,0,0,0,0,1,2,1,0,4,0,4,0,0,0,0,1,0,0,runners-up
M-1950-01,Brazil,Jair,0,65,0,0,0,0,0,0,1,1,1,0,4,0,4,0,0,0,0,1,0,0,runners-up
M-1950-06,Brazil,Alfredo,0,3,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,0,0,0,1,runners-up
M-1950-06,Brazil,Baltazar,0,32,0,0,0,0,0,0,1,2,1,0,2,2,0,0,0,0,0,0,0,1,runners-up
M-1950-11,Brazil,Ademir,0,4,0,0,0,0,0,0,1,1,1,0,2,0,2,0,0,0,0,1,0,0,runners-up
M-1950-11,Brazil,Zizinho,0,69,0,0,0,0,0,0,1,1,1,0,2,0,2,0,0,0,0,1,0,0,runners-up
M-1950-17,Brazil,Ademir,0,17,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,runners-up
M-1950-17,Brazil,Ademir,0,36,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,runners-up
M-1950-17,Brazil,Ademir,0,52,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,runners-up
M-1950-17,Brazil,Ademir,0,58,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,runners-up
M-1950-17,Brazil,Chico,0,39,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,runners-up
M-1950-17,Brazil,Chico,0,88,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,runners-up
M-1950-17,Brazil,Maneca,0,85,0,0,0,0,0,0,1,1,1,0,7,1,6,0,0,0,0,1,0,0,runners-up
M-1950-19,Brazil,Ademir,0,15,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,runners-up
M-1950-19,Brazil,Ademir,0,57,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,runners-up
M-1950-19,Brazil,Chico,0,31,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,runners-up
M-1950-19,Brazil,Chico,0,55,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,runners-up
M-1950-19,Brazil,Jair,0,21,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,runners-up
M-1950-19,Brazil,Zizinho,0,67,0,0,0,0,0,0,1,1,1,0,6,1,5,0,0,0,0,1,0,0,runners-up
M-1950-22,Brazil,Friaa,0,47,0,0,0,0,0,0,1,1,0,1,1,2,-1,0,0,0,0,0,1,0,runners-up
M-1954-05,Switzerland,Ballaman,0,18,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,1,0,0,quarter-final
M-1954-05,Switzerland,HŸgi,0,78,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,1,0,0,quarter-final
M-1954-18,Switzerland,Ballaman,0,48,0,0,0,0,0,0,1,1,1,0,4,1,3,0,0,0,0,1,0,0,quarter-final
M-1954-18,Switzerland,Fatton,0,90,0,0,0,0,0,0,1,2,1,0,4,1,3,0,0,0,0,1,0,0,quarter-final
M-1954-18,Switzerland,HŸgi,0,14,0,0,0,0,0,0,1,1,1,0,4,1,3,0,0,0,0,1,0,0,quarter-final
M-1954-18,Switzerland,HŸgi,0,85,0,0,0,0,0,0,1,1,1,0,4,1,3,0,0,0,0,1,0,0,quarter-final
M-1954-19,Switzerland,Ballaman,0,16,0,0,0,0,0,0,1,1,0,1,5,7,-2,0,0,0,0,0,1,0,quarter-final
M-1954-19,Switzerland,Ballaman,0,39,0,0,0,0,0,0,1,1,0,1,5,7,-2,0,0,0,0,0,1,0,quarter-final
M-1954-19,Switzerland,HŸgi,0,17,0,0,0,0,0,0,1,1,0,1,5,7,-2,0,0,0,0,0,1,0,quarter-final
M-1954-19,Switzerland,HŸgi,0,19,0,0,0,0,0,0,1,1,0,1,5,7,-2,0,0,0,0,0,1,0,quarter-final
M-1954-19,Switzerland,HŸgi,0,60,0,0,0,0,0,0,1,1,0,1,5,7,-2,0,0,0,0,0,1,0,quarter-final
M-1958-01,Sweden,Liedholm,0,57,0,0,1,0,0,1,0,1,1,0,3,0,3,0,0,0,0,1,0,0,runners-up
M-1958-01,Sweden,Simonsson,0,17,0,0,0,0,0,0,1,1,1,0,3,0,3,0,0,0,0,1,0,0,runners-up
M-1958-01,Sweden,Simonsson,0,64,0,0,0,0,0,0,1,1,1,0,3,0,3,0,0,0,0,1,0,0,runners-up
M-1958-16,Sweden,Hamrin,0,34,0,0,0,0,0,1,0,1,1,0,2,1,1,0,0,0,0,1,0,0,runners-up
M-1958-16,Sweden,Hamrin,0,55,0,0,0,0,0,1,0,1,1,0,2,1,1,0,0,0,0,1,0,0,runners-up
M-1958-30,Sweden,Hamrin,0,49,0,0,0,0,0,1,0,1,1,0,2,0,2,0,0,0,0,1,0,0,runners-up
M-1958-30,Sweden,Simonsson,0,88,0,0,0,0,0,0,1,1,1,0,2,0,2,0,0,0,0,1,0,0,runners-up
M-1958-33,Sweden,Gren,0,81,0,0,0,0,0,0,1,1,1,0,3,1,2,0,0,0,0,1,0,0,runners-up
M-1958-33,Sweden,Hamrin,0,88,0,0,0,0,0,1,0,1,1,0,3,1,2,0,0,0,0,1,0,0,runners-up
M-1958-33,Sweden,Skoglund,0,32,0,0,0,0,0,1,1,2,1,0,3,1,2,0,0,0,0,1,0,0,runners-up
M-1958-35,Sweden,Liedholm,0,4,0,0,0,0,0,1,0,1,0,1,2,5,-3,0,0,0,0,0,1,0,runners-up
M-1958-35,Sweden,Simonsson,0,80,0,0,0,0,0,0,1,1,0,1,2,5,-3,0,0,0,0,0,1,0,runners-up
M-1962-02,Chile,Ram’rez,0,51,0,0,0,0,0,1,1,2,1,0,3,1,2,0,0,0,0,1,0,0,third place
M-1962-02,Chile,S‡nchez,0,44,0,0,0,0,0,1,1,2,1,0,3,1,2,0,0,0,0,1,0,0,third place
M-1962-02,Chile,S‡nchez,0,55,0,0,0,0,0,1,1,2,1,0,3,1,2,0,0,0,0,1,0,0,third place
M-1962-10,Chile,Ram’rez,0,73,0,0,0,0,0,1,1,2,1,0,2,0,2,0,0,0,0,1,0,0,third place
M-1962-10,Chile,Toro,0,87,0,0,0,0,0,1,0,1,1,0,2,0,2,0,0,0,0,1,0,0,third place
M-1962-26,Chile,Rojas,0,29,0,0,0,0,0,1,0,1,1,0,2,1,1,0,0,0,0,1,0,0,third place
M-1962-26,Chile,S‡nchez,0,11,0,0,0,0,0,1,1,2,1,0,2,1,1,0,0,0,0,1,0,0,third place
M-1962-29,Chile,S‡nchez,0,61,0,0,1,0,0,1,1,2,0,1,2,4,-2,0,0,0,0,0,1,0,third place
M-1962-29,Chile,Toro,0,42,0,0,0,0,0,1,0,1,0,1,2,4,-2,0,0,0,0,0,1,0,third place
